code,series
BE,Drag Race Belgique
BR,Drag Race Brasil
CA,Drag Race Canada
CL,The Switch Drag Race
DE,Drag Race Deutschland
DU,RuPaul's Drag Race Down Under
ES,Drag Race España
FR,Drag Race France
GB,RuPaul's Drag Race UK
IN,Drag Race India
IT,Drag Race Italia
JP,Drag Race Japan
KR,Drag Race South Korea
MX,Drag Race Mexico
NL,Drag Race Netherlands
PH,Drag Race Philippines
SE,Drag Race Sverige
SG,Drag Race Singapore
TH,Drag Race Thailand
US,RuPaul's Drag Race
XC,Canada's Drag Race: Canada vs The World
XG,RuPaul's Drag Race Global All Stars
XS,RuPaul's Drag Race All Stars
XU,RuPaul's Drag Race UK vs The World
