season,contestant_id,rank,age
s01,s01bebe,1,28
s01,s01nina,2,34
s01,s01rebe,3,26
s01,s01shan,4,26
s01,s01ongi,5,26
s01,s01jade,6,32
s01,s01akas,7,32
s01,s01tamm,8,36
s01,s01vict,9,39
s02,s02tyra,1,21
s02,s02rave,2,30
s02,s02juju,3,25
s02,s02tati,4,21
s02,s02pand,5,37
s02,s02jess,6,29
s02,s02saha,7,25
s02,s02morg,8,28
s02,s02soni,9,26
s02,s02myst,10,25
s02,s02nico,11,36
s02,s02shan,12,28
s03,s03raja,1,36
s03,s03mani,2,28
s03,s03alex,3,30
s03,s03yara,4,26
s03,s03carm,5,25
s03,s02shan,6,29
s03,s03delt,7,34
s03,s03stac,8,25
s03,s03mari,9,29
s03,s03indi,10,23
s03,s03mimi,11,27
s03,s03phoe,12,29
s03,s03venu,13,26
s04,s04shar,1,29
s04,s04chad,2,40
s04,s04phi0,2,25
s04,s04latr,4,39
s04,s04keny,5,21
s04,s04dida,6,25
s04,s04will,7,29
s04,s04jigg,8,30
s04,s04mila,9,36
s04,s04mada,10,29
s04,s04the0,11,32
s04,s04lash,12,21
s04,s04alis,13,23
s05,s05jink,1,24
s05,s05alas,2,27
s05,s05roxx,2,28
s05,s05deto,4,27
s05,s05coco,5,37
s05,s05alys,6,32
s05,s05ivy0,7,26
s05,s05jade,8,25
s05,s05line,9,24
s05,s05vivi,10,26
s05,s05hone,10,29
s05,s05moni,12,27
s05,s05sere,13,21
s05,s05penn,14,39
s06,s06bian,1,36
s06,s06ador,2,23
s06,s06cour,2,31
s06,s06dari,4,41
s06,s06bend,5,31
s06,s06josl,6,26
s06,s06trin,7,22
s06,s06laga,8,24
s06,s06milk,9,25
s06,s06gia0,10,23
s06,s06apri,11,24
s06,s06viva,12,40
s06,s06magn,13,27
s06,s06kell,13,37
s07,s07viol,1,22
s07,s07ging,2,29
s07,s07pear,2,23
s07,s07kenn,4,33
s07,s07katy,5,32
s07,s07trix,6,26
s07,s07miss,7,29
s07,s07jaid,8,25
s07,s07max0,9,22
s07,s07kand,10,28
s07,s07mrs0,11,43
s07,s07jasm,12,37
s07,s07sash,13,28
s07,s07temp,14,46
s08,s08bob0,1,29
s08,s08kim0,2,27
s08,s08naom,2,21
s08,s08chi0,4,30
s08,s08derr,5,32
s08,s08thor,6,31
s08,s08robb,7,33
s08,s08acid,8,37
s08,s08nays,9,31
s08,s08cynt,10,34
s08,s08dax0,11,31
s08,s08lail,11,22
s09,s09sash,1,29
s09,s09pepp,2,37
s09,s09shea,3,27
s09,s09trin,3,31
s09,s09alex,5,33
s09,s09nina,6,34
s09,s09vale,7,25
s09,s09farr,8,23
s09,s09aja0,9,22
s09,s09cynt,10,34
s09,s09eure,11,25
s09,s09char,12,52
s09,s09kimo,13,28
s09,s09jaym,14,26
s10,s10aqua,1,21
s10,s09eure,2,27
s10,s10kame,2,31
s10,s10asia,4,35
s10,s10miz0,5,33
s10,s10mone,6,31
s10,s10the0,7,26
s10,s10moni,8,27
s10,s10blai,9,22
s10,s10mayh,10,35
s10,s10dust,11,29
s10,s10yuhu,12,27
s10,s10kalo,13,27
s10,s10vane,14,25
s11,s11yvie,1,24
s11,s11broo,2,32
s11,s11aker,3,30
s11,s11silk,3,28
s11,s10vane,5,26
s11,s11nina,6,39
s11,s11shug,7,40
s11,s11plas,8,21
s11,s11raja,9,33
s11,s11scar,10,26
s11,s11arie,11,26
s11,s11merc,11,30
s11,s11hone,13,32
s11,s11kaha,14,25
s11,s11soju,15,27
s12,s12crys,2,28
s12,s12gigi,2,21
s12,s12jaid,1,32
s12,s12sher,,27
s12,s12jack,4,34
s12,s12heid,5,24
s12,s12wido,6,30
s12,s12jan0,7,26
s12,s12brit,8,34
s12,s12aide,9,29
s12,s12nick,10,28
s12,s12rock,11,28
s12,s12dahl,12,28
s13,s13symo,1,25
s13,s13kand,2,25
s13,s13gott,3,23
s13,s13rose,3,31
s13,s13oliv,5,26
s13,s13utic,6,25
s13,s13tina,7,39
s13,s13dena,8,28
s13,s13elli,9,26
s13,s13lala,10,30
s13,s13tami,11,49
s13,s13joey,12,30
s13,s13kahm,13,28
s14,s14will,1,26
s14,s14lady,2,31
s14,s14ange,3,27
s14,s14bosc,3,28
s14,s14daya,3,25
s14,s14deja,6,31
s14,s14jorg,6,21
s14,s14jasm,8,22
s14,s14kerr,9,24
s14,s14madd,10,26
s14,s14orio,11,25
s14,s14korn,12,29
s14,s14alys,13,26
s14,s14june,14,29
